title,release_date,runtime,original_language,overview,poster_path,genres,production_companies,production_countries,spoken_languages,keywords
Dilwale Dulhania Le Jayenge,20-10-1995,190,hi,"Raj is a rich, carefree, happy-go-lucky second generation NRI. Simran is the daughter of Chaudhary Baldev Singh, who in spite of being an NRI is very strict about adherence to Indian values. Simran has left for India to be married to her childhood fianc??. Raj leaves for India with a mission at his hands, to claim his lady love under the noses of her whole family. Thus begins a saga.",/ktejodbcdCPXbMMdnpI9BUxW6O8.jpg,"Comedy, Drama, Romance",Yash Raj Films,India,Hindi,"family's daily life, family history, love-hate relationship, family drama, love affair"
3 Idiots,23-12-2009,170,hi,"Rascal. Joker. Dreamer. Genius... You've never met a college student quite like ""Rancho."" From the moment he arrives at India's most prestigious university, Rancho's outlandish schemes turn the campus upside downü??along with the lives of his two newfound best friends. Together, they make life miserable for ""Virus,"" the schoolü??s uptight and heartless dean. But when Rancho catches the eye of the dean's daughter, Virus sets his sights on flunking out the ""3 idiots"" once and for all.",/66A9MqXOyVFCssoloscw79z8Tew.jpg,"Drama, Comedy","Vidhu Vinod Chopra Productions, Vinod Chopra Films",India,"English, Hindi, Sanskrit","suicide, suicide attempt, college, slapstick comedy, coming of age, friends, engineering, subjective camera"
My Name Is Khan,10-02-2010,165,hi,"Rizwan Khan, a Muslim from the Borivali section of Mumbai, has Asperger's syndrome. He marries a Hindu single mother, Mandira, in San Francisco. After 9/11, Rizwan is detained by authorities at LAX who treat him as a terrorist because of his condition and his race.",/5Y36lCiNyyV71mjq6LavgiggbhT.jpg,"Drama, Romance","Dharma Productions, Fox Searchlight Pictures, Red Chillies Entertainment, Star Studios, Imagenation Abu Dhabi FZ","United Arab Emirates, India, United States of America","English, Hindi","autism, mumbai (bombay), india, based on true story, prejudice, religion, disability, asperger's syndrome, asian american"
Like Stars on Earth,21-12-2007,165,hi,"Ishaan Awasthi is an eight-year-old whose world is filled with wonders that no one else seems to appreciate. Colours, fish, dogs, and kites don't seem important to the adults, who are much more interested in things like homework, marks, and neatness. Ishaan cannot seem to get anything right in class; he is then sent to boarding school, where his life changes forever.",/fwXhw9bERqKrJfJK6WGakPIh3FS.jpg,Drama,"Aamir Khan Productions, PVR Pictures",India,"English, Hindi","jealousy, parent child relationship, boarding school, painter, father, dyslexia, teacher, little boy, india, childhood, teachers and students"
PK,18-12-2014,153,hi,"A stranger in the city asks questions no one has asked before. Known only by his initials, the man's innocent questions and childlike curiosity take him on a journey of love, laughter and letting go.",/z2x2Y4tncefsIU7h82gmUM5vnBJ.jpg,"Comedy, Drama, Adventure, Science Fiction","Rajkumar Hirani Films, Vinod Chopra Films, UTV Motion Pictures",India,Hindi,"friendship, society, christianity, hinduism, islam, alien, love, religion, sociology, belief in god, islamophobia, pakistan vs india, sikhism, jainism"
Dangal,21-12-2016,161,hi,"Dangal is an extraordinary true story based on the life of Mahavir Singh and his two daughters, Geeta and Babita Phogat. The film traces the inspirational journey of a father who trains his daughters to become world class wrestlers.",/1xoavuB5bO92wo3eFQjZN2I9ptV.jpg,"Drama, Family, Comedy, Action","Aamir Khan Productions, Walt Disney Pictures, UTV Motion Pictures","India, United States of America",Hindi,"small town, strong woman, sports, parent child relationship, empowerment, feminism, wrestling, training, biography, autobiography, domestic abuse, fighting, womanhood, endurance, woman vs woman fight, female empowerment, determination, strength training, abusive father, overcoming fears, father daughter relationship"
The Lunchbox,20-09-2013,104,hi,"A mistaken delivery in Mumbai's famously efficient lunchbox delivery system (Mumbai's Dabbawallahs) connects a young housewife to a stranger in the dusk of his life. They build a fantasy world together through notes in the lunchbox. Gradually, this fantasy threatens to overwhelm their reality.",/jSOiz1h97i3qwjZJXY8SeLvjPsl.jpg,"Drama, Romance","UTV Motion Pictures, Sikhya Entertainment, DAR Motion Pictures, Dharma Productions, ARTE France Cin??ma, CNC, The Match Factory, Asap Films, Rohfilm, Cine Mosaic, National Film Development Corporation of India, Sony Pictures Classics","France, Germany, India, United States of America","English, Hindi","housewife, mumbai (bombay), india, food, tiffin, gastronomia, indian cuisine"
Lagaan: Once Upon a Time in India,15-06-2001,224,hi,"In 1890s India, an arrogant British commander challenges the harshly taxed residents of Champaner to a high-stakes cricket match.",/yNX9lFRAFeNLNRIXdqZK9gYrYKa.jpg,"Adventure, Romance, Drama","Aamir Khan Productions, Jhamu Sughand Productions, Ashutosh Gowariker Productions",India,"English, Urdu, Hindi","countryside, sports, patriotism, village, musical, challenge, cricket, taxes, based on true story, period drama, colonialism, british colonial, arrogance, untouchable, caste system, drought, 19th century, british raj, gujarati"
Kabhi Khushi Kabhie Gham,14-12-2001,209,hi,"Years after his father disowns his adopted brother for marrying a woman of lower social standing, a young man goes on a mission to reunite his family.",/lRl7wrJmkOzMTDVYFSIpUcsIjPQ.jpg,"Comedy, Drama",Dharma Productions,India,"English, Hindi","london, england, parent child relationship, adoption, delhi, india, forbidden love, reunion, class differences, family conflict, watch on youtalkies"
Bajrangi Bhaijaan,17-07-2015,159,hi,A young mute girl from Pakistan loses herself in India with no way to head back. A devoted man with a magnanimous spirit undertakes the task to get her back to her motherland and unite her with her family.,/rNfToRJw35h7a4y6HXGRgfkLvdc.jpg,"Comedy, Drama, Action","Rockline Entertainments, Kabir Khan Films, Salman Khan Films",India,"Hindi, Urdu","religion, journey, lost child"
Andhadhun,05-10-2018,139,hi,A series of mysterious events changes the life of a blind pianist who now must report a crime that was actually never witnessed by him.,/dy3K6hNvwE05siGgiLJcEiwgpdO.jpg,"Crime, Thriller, Comedy","Viacom18 Studios, Matchbox Pictures",India,"English, Hindi","pianist, blind man, piano"
Rang De Basanti,26-01-2006,157,hi,"After a group of friends graduate from Delhi University, they listlessly haunt their old campus, until a British filmmaker casts them in a film she's making about freedom fighters under British rule. Although the group is largely apolitical, the tragic death of a friend owing to local government corruption awakens their patriotism. Inspired by the freedom fighters they represent in the film, the friends collectively decide to avenge the killing.",/f1bF8CHzEu621bPSIg6XiUNAabh.jpg,"Comedy, Drama, History","UTV Motion Pictures, Rakeysh Omprakash Mehra Pictures",India,"English, Hindi, Punjabi","students' movement, patriotism, war of independence, coming of age, celebration, corrupt politician, indian freedom struggle"
Drishyam,30-07-2015,163,hi,"A simple, street-smart man tries to protect his family from a tough cop looking for his missing son.",/gIClWRv5OSe8rl5Koi0AeUcCZ9Z.jpg,"Crime, Drama, Thriller, Mystery","Panorama Studios, Viacom18 Studios",India,Hindi,"police, blackmail, hidden camera, remake, murder, family, phone, based on movie, false evidence"
Ghajini,25-12-2008,186,hi,"A man suffering from anterograde amnesia as a result of a violent attack in the past sets out to avenge his girlfriend's death with the aid of photographs, notes and tattoos all over his body.",/cPLzHxPFRjzNvoyncdtDGBAxjp.jpg,"Action, Romance, Thriller",Geetha Arts,India,Hindi,"tattoo, businessman, love at first sight, gangster, diary, villain, revenge, brutality, police officer, polaroid, short-term memory, medical student"
Kuch Kuch Hota Hai,16-10-1998,185,hi,"Per her mother's last wish, an 8 year old girl sets out to reunite her father with his college best friend who was in love with him.",/5FmtHHDGPofW5Zjns1EM1D8503c.jpg,"Romance, Drama",Dharma Productions,India,Hindi,"soulmates, friendship bracelet, love, falling in love, unhappiness, childhood friends"
Kal Ho Naa Ho,27-11-2003,186,hi,An uptight MBA student falls for the charismatic new neighbor who charms her troubled family ü?? but he has a secret that forces him to push her away.,/zhMI6I0kSLnewTMwE0A8Tz3Cj2f.jpg,"Comedy, Drama, Romance",Dharma Productions,India,"English, Hindi","new york city, musical"
Gangs of Wasseypur - Part 1,22-06-2012,160,hi,"In 1970s India, a young man vows to take revenge on the man who killed his father decades earlier.",/yd7ltAY4j2tRrLAFpVVqh9EhahC.jpg,"Action, Thriller, Crime","Anurag Kashyap Films, Jar Pictures",India,Hindi,"mafia, gang, coal mining"
Om Shanti Om,07-11-2007,162,hi,"Reincarnated 30 years after being killed in a suspicious on-set fire, a small-time actor is determined to punish the person who ignited the blaze.",/hQrwdiacMM5XDUkKdv3pCS6VFt8.jpg,"Comedy, Thriller, Drama",Red Chillies Entertainment,India,"English, Hindi","psychopath, 1970s, musical, reincarnation, sociopath, revenge, betrayal, disco, predator turns victim, unlikely lovers, woman director, desire for fame, 2000s, crossover"
Zindagi Na Milegi Dobara,15-07-2011,154,hi,"Three friends who were inseparable in childhood decide to go on a three-week-long bachelor road trip to Spain, in order to re-establish their bond and explore thrilling adventures, before one of them gets married. What will they learn of themselves and each other during the adventure?",/hKO9O715wYxjkQSEv47giCYcyO8.jpg,"Drama, Comedy, Romance","UTV Motion Pictures, Excel Entertainment, Eros International, Kanzaman Productions","India, Spain",Hindi,"school friend, friendship, cheating, painter, poet, vacation, travel, scuba diving, misunderstanding, lyricist, childhood friends, road movie, flirting, female domination, scuba diver, father son conflict, sky diving"
Ra.One,24-10-2011,156,hi,"When the titular antagonist of an action game takes on physical form, it's only the game's less powerful protagonist who can save their creator's family.",/mXlS41qbd0bzhO44iPDtJqYtQt8.jpg,"Adventure, Action, Science Fiction","Red Chillies Entertainment, Eros International, Prime Focus",India,Hindi,"video game, superhero, villain, sci-fi, action, adventure"
